answer,id,zero_shot,few_shot,zero_shot_cot,few_shot_cot
51.0,chal-1,,,51.0,52.5
1.0,chal-2,,,8.0,6.524168816871686
17.0,chal-3,,,16.16,17.5
22.0,chal-4,,,18.0,22.0
2.0,chal-5,,,84.0,28.0
46.0,chal-6,,,53.0,48.0
3.0,chal-7,,,7.0,7.0
9.0,chal-8,,,35.35,22.0
4.0,chal-9,,,10.0,10.00
21.0,chal-10,,,26.0,26.5002334234234423
1.0,chal-11,,,16.0,8.0
143.0,chal-12,,,11.0,13.11
926.0,chal-13,,,926.6,694.0
255.0,chal-14,,,17.0,15.0
10.0,chal-15,,,11.11,10.9
16.0,chal-16,,,26.0,19.0
469.0,chal-17,,,218.2,9.0
1414.0,chal-18,,,1331.00,731.7300
27.0,chal-19,,,25.0000,57.0
66.0,chal-20,,,491.00,363.2
186.0,chal-21,,,16.00,109.4
20.0,chal-22,,,4.0,5.0
10.0,chal-23,,,66.0200300040005,8.56788967260676067
1.0,chal-24,,,5.0,4.0
1.0,chal-25,,,5.0,1.0
60.0,chal-26,,,17.5,5.6
488.0,chal-27,,,468.7,48.75
1.0,chal-28,,,23.50,13.57
89.0,chal-29,,,79.0,49.0422762844279
2.0,chal-30,,,6.0,2.0
5.0,chal-31,,,12.0,19.00178812942857428
2.0,chal-32,,,14.0,15.0
1.0,chal-33,,,7.0,1.0
63.0,chal-34,,,78.000000000000000000000,59.5
1.0,chal-35,,,3.0,3.0
1.0,chal-36,,,4.0,2.0
949.0,chal-37,,,26965.0,17675.25
2.0,chal-38,,,7.0,7.0
2.0,chal-39,,,57.06,3.1
3.0,chal-40,,,13.0,18.0
10.0,chal-41,,,5.0,5.542816357666788
4.0,chal-42,,,49.0,46.0
8142.0,chal-43,,,17112.0,176.751725176175173170168
1.0,chal-44,,,5.9,5.0
39.0,chal-45,,,18.0,15.0
32.0,chal-46,,,99.99,35.5
13.0,chal-47,,,5.0,9.0
11.0,chal-48,,,8.5,18.0
26.0,chal-49,,,17.0,26.00
266.0,chal-50,,,619.3623962386237623,385.3667
57.0,chal-51,,,87.1,95.0
6.0,chal-52,,,13.0,14.00123456789678901234
4.0,chal-53,,,10.0,18.0
2.0,chal-54,,,2.0,11.1
24.0,chal-55,,,10.0,12.01563
204.0,chal-56,,,56.0,202.9
20.0,chal-57,,,16.5,20.00
31.0,chal-58,,,25.0,23.0
10.0,chal-59,,,10.0705772897057728,13.001205234012312312
61.0,chal-60,,,625.5,10.0
11.0,chal-61,,,30.0,14.51
2.0,chal-62,,,760.6,6.04255424242424242424
2.0,chal-63,,,25.0,2.0
2.0,chal-64,,,15.0,3.1159875987559875598
139.0,chal-65,,,159.39,149.90
3.0,chal-66,,,16.0,24.002210001231234
4.0,chal-67,,,4.4,4.25
5.0,chal-68,,,5.0,15.0
22.0,chal-69,,,23.0,25.0
111.0,chal-70,,,73.00,78.00
22090603.0,chal-71,,,11141.00,16859.00
125.0,chal-72,,,5700.00000000000000000000,310.003120000003120000
8.0,chal-73,,,5.0,20.0
75.0,chal-74,,,38.0,2.520210120412012012
569.0,chal-75,,,760.00000,351.0
2173.0,chal-76,,,42.13,43.13
2.0,chal-77,,,4.07281,4.00
8.0,chal-78,,,8.0,8.0
2.0,chal-79,,,3.0,11.0
4300.0,chal-80,,,20.00,42400.0
