answer,id,zero_shot,few_shot
51.0,chal-1,6.00,74.0
1.0,chal-2,16.00,1.5
17.0,chal-3,7.0,21.0
22.0,chal-4,59.0,31.4
2.0,chal-5,19.5,85.8
46.0,chal-6,18.0,13.0
3.0,chal-7,2.5,9.0
9.0,chal-8,10.0,10.0
4.0,chal-9,0.5,9.0
21.0,chal-10,1.17,25.0
1.0,chal-11,8.0,13.0
143.0,chal-12,16.9,73.00
926.0,chal-13,598.2,689.2
255.0,chal-14,56.0,48.0
10.0,chal-15,25.0,18.0
16.0,chal-16,58.0,22.0
469.0,chal-17,556.8,73.0
1414.0,chal-18,710.1686,841.9
27.0,chal-19,19.5,59.0
66.0,chal-20,58.0,87.0
186.0,chal-21,13.0,146.00
20.0,chal-22,0.2576000,56.0
10.0,chal-23,19.5,10.0
1.0,chal-24,10.0,1.0
1.0,chal-25,10.0,4.0
60.0,chal-26,83.5,55.0
488.0,chal-27,14.5,0.7
1.0,chal-28,0.5,14.5
89.0,chal-29,48.0,47.0
2.0,chal-30,15.0,8.00
5.0,chal-31,17.0,7.0
2.0,chal-32,2.0,16.0
1.0,chal-33,12.5,4.5
63.0,chal-34,17.0,77.0
1.0,chal-35,7.5,6.0
1.0,chal-36,18.00,13.00
949.0,chal-37,37149.00,7449.2
2.0,chal-38,9.00,2.0
2.0,chal-39,53.9,49.5
3.0,chal-40,20.0,6.0
10.0,chal-41,8.0,1.6
4.0,chal-42,20.5,45.0
8142.0,chal-43,1062.1,78.7
1.0,chal-44,19.5,1.5
39.0,chal-45,59.0,43.5
32.0,chal-46,13.628967289672896728,65.0
13.0,chal-47,17.0,17.0
11.0,chal-48,4.0,10.0
26.0,chal-49,20.0,23.5
266.0,chal-50,12.5,5.0
57.0,chal-51,53.0,48.0
6.0,chal-52,9.00,9.1
4.0,chal-53,4.5,26.0
2.0,chal-54,14.0,3.0
24.0,chal-55,25.0,14.0
204.0,chal-56,100.00,94.0
20.0,chal-57,23.0,27.0
31.0,chal-58,89.003050000000000000000,78.0
10.0,chal-59,14.1,17.0
61.0,chal-60,39.6,15.0
11.0,chal-61,16.0,16.0
2.0,chal-62,3.8,54.0
2.0,chal-63,9.5,1.5
2.0,chal-64,15.6,4.5
139.0,chal-65,95.0,99.0
3.0,chal-66,26.0,22.2
4.0,chal-67,0.5,75.1
5.0,chal-68,25.0,1.5
22.0,chal-69,43.0,48.1
111.0,chal-70,84.00,81.0
22090603.0,chal-71,53.9,14261.0
125.0,chal-72,144.00000,210.1
8.0,chal-73,25.0,19.0
75.0,chal-74,25.0,41.0
569.0,chal-75,850.84,355.6
2173.0,chal-76,51.13,42.5000000
2.0,chal-77,7.0618743487305,1.0
8.0,chal-78,5.0,5.1
2.0,chal-79,3.0,3.0
4300.0,chal-80,1500.00,50.00
24.0,chal-81,35.0,57.0
7.0,chal-82,1.4,10.0
2.0,chal-83,0.5,3.0
687.0,chal-84,668.3,620.9
20.0,chal-85,13.0,15.0
30.0,chal-86,0.5,65.0
1.0,chal-87,16.0,9.0
17.0,chal-88,50.00,35.00
5.0,chal-89,10.0,6.0
22.0,chal-90,19.00,31.0
1.0,chal-91,25.0,10.0
366.0,chal-92,15.00,58.0
22.0,chal-93,13.0,20.0
1.0,chal-94,3.0,3.0
1.0,chal-95,13.1,16.0
1.0,chal-96,27.5,1.0
12.0,chal-97,49.0,22.5
30.0,chal-98,5.00,10.0
7.0,chal-99,4.00,15.0
15.0,chal-100,7601.5,13.0
10.0,chal-101,8.0,15.1
8.0,chal-102,16.0,17.0
1.0,chal-103,8.0,1.5
154.0,chal-104,56.0,44.0
39.0,chal-105,23.0,41.0
96.0,chal-106,8.0,64.0
28462.0,chal-107,24362.6,80.00000
10011.0,chal-108,42711.0,14531.1
1.0,chal-109,8.0,8.0
23.0,chal-110,48.0,44.0
2.0,chal-111,19.5,9.5
1862.0,chal-112,4258.5,2520.00
4.0,chal-113,15.0,13.0
1.0,chal-114,0.5,10.0
84.0,chal-115,12.8,25.5
104.0,chal-116,150.1,103.0
10.0,chal-117,42.5,16.0
17.0,chal-118,23.0,30.0
10.0,chal-119,53.0,483.00
22.0,chal-120,9.0,19.0
3.0,chal-121,7601.172857285772857,6.0
25.0,chal-122,5.0,13.0
4.0,chal-123,9.5,6.00
33.0,chal-124,83.0,26.0
12.0,chal-125,25.5,6.0
118.0,chal-126,22.00,64.0
5.0,chal-127,17.5,15.0
7.0,chal-128,71.0,147.0
192.0,chal-129,17.5,52.00
7.0,chal-130,9.0,9.0
9.0,chal-131,13.1,8.0
34.0,chal-132,69.0,60.0
60.0,chal-133,37.0,46.0
1.0,chal-134,23.0,14.0
308.0,chal-135,81.0,22.0
80.0,chal-136,87.0,156.6
