answer,id,two_shot_cot
51.0,chal-1,50.00
1.0,chal-2,4.0
17.0,chal-3,16.0
22.0,chal-4,43.0723943437239434
2.0,chal-5,26.0
46.0,chal-6,48.0
3.0,chal-7,10.0
9.0,chal-8,18.0592565286934693
4.0,chal-9,10.0
21.0,chal-10,23.0
1.0,chal-11,3.0
143.0,chal-12,1250.25
926.0,chal-13,619.0
255.0,chal-14,17.0
10.0,chal-15,10.0
16.0,chal-16,18.0
469.0,chal-17,2.3
1414.0,chal-18,17.57574523443543435
27.0,chal-19,57.0
66.0,chal-20,19.0
186.0,chal-21,171.17
20.0,chal-22,3600.5
10.0,chal-23,10.0
1.0,chal-24,5.0724282477446
1.0,chal-25,5.0
60.0,chal-26,18.0
488.0,chal-27,56.0
1.0,chal-28,13.0
89.0,chal-29,41.000000
2.0,chal-30,2.00
5.0,chal-31,32.5312531253125312
2.0,chal-32,2.1
1.0,chal-33,7.0000
63.0,chal-34,73.73
1.0,chal-35,3.0
1.0,chal-36,4.0
949.0,chal-37,673.5
2.0,chal-38,7.0
2.0,chal-39,14.51
3.0,chal-40,23.23230232
10.0,chal-41,12.0
4.0,chal-42,43.0
8142.0,chal-43,176.7
1.0,chal-44,5.0
39.0,chal-45,17.5
32.0,chal-46,56.0728273017304730
13.0,chal-47,10.004559246789012345
11.0,chal-48,7.0
26.0,chal-49,2.5
266.0,chal-50,3.15
57.0,chal-51,57.00
6.0,chal-52,13.0
4.0,chal-53,5.0
2.0,chal-54,11.8181
24.0,chal-55,3.5012272876286428
204.0,chal-56,2030.6
20.0,chal-57,20.0
31.0,chal-58,29.0
10.0,chal-59,7.5
61.0,chal-60,11.54266896786786678
11.0,chal-61,14.0
2.0,chal-62,12.0
2.0,chal-63,28.5
2.0,chal-64,8.5
139.0,chal-65,1000.00500000000000000
3.0,chal-66,20.0
4.0,chal-67,8.5
5.0,chal-68,13.5354678967890012345
22.0,chal-69,11.2
111.0,chal-70,76.0
22090603.0,chal-71,13.5700000000000000000000
125.0,chal-72,130.8
8.0,chal-73,7.0
75.0,chal-74,1.5546543456
569.0,chal-75,3.5
2173.0,chal-76,40.13
2.0,chal-77,5.6
8.0,chal-78,6.56
2.0,chal-79,11.0752562896446734
4300.0,chal-80,15.5760759207300730
24.0,chal-81,34.5
7.0,chal-82,7.0
2.0,chal-83,2.00
687.0,chal-84,468.213174317413174317
20.0,chal-85,25.0
30.0,chal-86,46.0
1.0,chal-87,5.5
17.0,chal-88,26.5
5.0,chal-89,20.0
22.0,chal-90,317.02219529500000317295
1.0,chal-91,5.5
366.0,chal-92,407.4077
22.0,chal-93,30.0
1.0,chal-94,13.0
1.0,chal-95,19.0
1.0,chal-96,0.00
12.0,chal-97,22.5
30.0,chal-98,59.0
7.0,chal-99,18.5
15.0,chal-100,15.0
10.0,chal-101,13.6
8.0,chal-102,19.0426472884247288
1.0,chal-103,3.5
154.0,chal-104,14.0354759299788
39.0,chal-105,61.0897531103691826726
96.0,chal-106,16.05928
28462.0,chal-107,76062.0000
10011.0,chal-108,59111.0
1.0,chal-109,1.0
23.0,chal-110,57.0
2.0,chal-111,28.5
1862.0,chal-112,38.04698
4.0,chal-113,14.0
1.0,chal-114,5.5
84.0,chal-115,76.0
